row_id,order_id,created_at,item_id,quantity,delivery,cust_id,add_id
1,ORD_0001,2024-08-01 17:26:00,it022,2,Y,1,135
2,ORD_0001,2024-08-01 17:26:00,it004,3,N,1,135
3,ORD_0001,2024-08-01 17:26:00,it021,2,Y,1,135
4,ORD_0002,2024-08-02 17:26:00,it026,1,N,2,491
5,ORD_0002,2024-08-02 17:26:00,it004,3,N,2,491
6,ORD_0002,2024-08-02 17:26:00,it023,1,N,2,491
7,ORD_0003,2024-08-03 16:50:00,it023,2,Y,3,264
8,ORD_0004,2024-08-04 13:25:00,it021,1,N,4,263
9,ORD_0004,2024-08-04 13:25:00,it018,1,Y,4,263
10,ORD_0004,2024-08-04 13:25:00,it024,3,N,4,263
11,ORD_0004,2024-08-04 13:25:00,it019,1,N,4,263
12,ORD_0005,2024-08-05 20:42:00,it020,1,Y,5,578
13,ORD_0005,2024-08-05 20:42:00,it003,2,N,5,578
14,ORD_0005,2024-08-05 20:42:00,it024,3,Y,5,578
15,ORD_0006,2024-08-06 23:55:00,it020,1,Y,6,550
16,ORD_0006,2024-08-06 23:55:00,it032,1,N,6,550
17,ORD_0006,2024-08-06 23:55:00,it022,1,N,6,550
18,ORD_0006,2024-08-06 23:55:00,it016,2,N,6,550
19,ORD_0007,2024-08-07 16:19:00,it018,1,Y,7,123
20,ORD_0007,2024-08-07 16:19:00,it023,1,Y,7,123
21,ORD_0008,2024-08-08 19:41:00,it025,1,Y,8,527
22,ORD_0009,2024-08-09 16:03:00,it018,1,Y,9,607
23,ORD_0009,2024-08-09 16:03:00,it004,2,N,9,607
24,ORD_0009,2024-08-09 16:03:00,it019,2,N,9,607
25,ORD_0010,2024-08-10 16:55:00,it031,1,N,10,265
26,ORD_0010,2024-08-10 16:55:00,it020,3,N,10,265
27,ORD_0010,2024-08-10 16:55:00,it030,2,N,10,265
28,ORD_0010,2024-08-10 16:55:00,it019,1,N,10,265
29,ORD_0011,2024-08-11 23:28:00,it011,2,N,11,749
30,ORD_0011,2024-08-11 23:28:00,it007,1,Y,11,749
31,ORD_0012,2024-08-13 00:40:00,it032,1,Y,12,285
32,ORD_0013,2024-08-13 14:52:00,it022,2,N,13,645
33,ORD_0014,2024-08-14 19:54:00,it018,3,Y,14,3
34,ORD_0014,2024-08-14 19:54:00,it027,2,N,14,3
35,ORD_0014,2024-08-14 19:54:00,it011,3,Y,14,3
36,ORD_0015,2024-08-15 17:07:00,it019,2,N,14,3
37,ORD_0015,2024-08-15 17:07:00,it024,3,N,14,3
38,ORD_0016,2024-08-16 13:33:00,it029,3,N,15,118
39,ORD_0017,2024-08-17 21:34:00,it027,3,Y,16,798
40,ORD_0017,2024-08-17 21:34:00,it010,3,Y,16,798
41,ORD_0017,2024-08-17 21:34:00,it012,3,N,16,798
42,ORD_0017,2024-08-17 21:34:00,it031,1,N,16,798
43,ORD_0018,2024-08-18 12:55:00,it008,3,Y,17,160
44,ORD_0018,2024-08-18 12:55:00,it002,1,N,17,160
45,ORD_0019,2024-08-19 18:07:00,it014,1,Y,11,289
46,ORD_0019,2024-08-19 18:07:00,it023,1,Y,11,289
47,ORD_0020,2024-08-20 19:51:00,it025,3,Y,18,97
48,ORD_0020,2024-08-20 19:51:00,it014,1,N,18,97
49,ORD_0021,2024-08-21 17:57:00,it016,2,Y,5,463
50,ORD_0021,2024-08-21 17:57:00,it025,2,N,5,463
51,ORD_0021,2024-08-21 17:57:00,it010,2,Y,5,463
52,ORD_0022,2024-08-22 22:37:00,it024,2,Y,10,773
53,ORD_0022,2024-08-22 22:37:00,it017,2,N,10,773
54,ORD_0022,2024-08-22 22:37:00,it027,1,N,10,773
55,ORD_0022,2024-08-22 22:37:00,it010,1,Y,10,773
56,ORD_0023,2024-08-23 13:15:00,it028,2,Y,19,303
57,ORD_0023,2024-08-23 13:15:00,it005,2,Y,19,303
58,ORD_0023,2024-08-23 13:15:00,it031,1,N,19,303
59,ORD_0024,2024-08-25 01:19:00,it020,2,N,20,183
60,ORD_0024,2024-08-25 01:19:00,it024,1,N,20,183
61,ORD_0024,2024-08-25 01:19:00,it022,2,Y,20,183
62,ORD_0025,2024-08-25 16:06:00,it019,1,N,13,291
63,ORD_0025,2024-08-25 16:06:00,it029,1,N,13,291
64,ORD_0026,2024-08-27 01:44:00,it027,1,Y,21,221
65,ORD_0026,2024-08-27 01:44:00,it006,2,N,21,221
66,ORD_0026,2024-08-27 01:44:00,it029,1,Y,21,221
67,ORD_0027,2024-08-27 16:22:00,it021,3,N,22,182
68,ORD_0027,2024-08-27 16:22:00,it007,3,N,22,182
69,ORD_0027,2024-08-27 16:22:00,it008,2,N,22,182
70,ORD_0027,2024-08-27 16:22:00,it001,3,N,22,182
71,ORD_0028,2024-08-28 15:56:00,it024,1,N,23,280
72,ORD_0028,2024-08-28 15:56:00,it023,2,N,23,280
73,ORD_0028,2024-08-28 15:56:00,it020,1,Y,23,280
74,ORD_0029,2024-08-29 18:20:00,it014,3,Y,24,66
75,ORD_0029,2024-08-29 18:20:00,it022,2,N,24,66
76,ORD_0029,2024-08-29 18:20:00,it018,2,Y,24,66
77,ORD_0029,2024-08-29 18:20:00,it028,3,Y,24,66
78,ORD_0030,2024-08-30 14:11:00,it009,3,N,16,177
79,ORD_0031,2024-09-01 00:00:00,it021,2,Y,25,579
80,ORD_0032,2024-09-01 23:23:00,it019,1,Y,26,222
81,ORD_0033,2024-09-02 15:31:00,it019,1,N,27,265
82,ORD_0033,2024-09-02 15:31:00,it019,2,N,27,265
83,ORD_0034,2024-09-03 19:30:00,it021,2,Y,28,478
84,ORD_0034,2024-09-03 19:30:00,it030,1,N,28,478
85,ORD_0034,2024-09-03 19:30:00,it024,1,N,28,478
86,ORD_0035,2024-09-04 13:42:00,it011,1,N,29,486
87,ORD_0035,2024-09-04 13:42:00,it030,3,N,29,486
88,ORD_0036,2024-09-06 01:28:00,it017,2,N,16,591
89,ORD_0036,2024-09-06 01:28:00,it028,3,N,16,591
90,ORD_0036,2024-09-06 01:28:00,it017,3,N,16,591
91,ORD_0037,2024-09-06 15:21:00,it023,1,Y,17,878
